#auto generated file!
1.5;0.0;0.0;0.0
3.0;0.0;0.0;0.0
4.5;0.0;0.0;0.0
6.0;0.0;0.0;0.0
7.5;0.0;0.0;0.0
9.0;0.0;0.0;0.0
10.5;0.875;0.0;0.0
12.0;8.525;0.0;0.0
13.5;17.075;1.2;0.0
15.0;14.875;1.2;0.0
16.5;21.825;0.9199999999999999;0.0
18.0;22.45;2.0;0.0
19.5;26.075;6.1;0.0
21.0;27.825;3.8200000000000003;0.0
22.5;28.85;3.84;0.0
24.0;27.025;1.6600000000000001;0.0
25.5;24.85;3.9200000000000004;0.0
27.0;25.025;2.44;0.0
28.5;24.4;3.2399999999999998;0.0
30.0;25.775;6.580000000000001;0.0
31.5;26.5;6.24;0.0
33.0;28.75;5.2;0.0
34.5;24.275;7.679999999999998;0.0
36.0;29.075;2.06;0.0
37.5;28.125;4.4;0.0
39.0;29.275;2.1799999999999997;0.0
40.5;27.75;3.9200000000000004;0.0
42.0;29.425;2.2600000000000002;0.0
43.5;27.7;7.1;0.0
45.0;31.175;3.9200000000000004;0.0
46.5;29.1;3.06;0.0
48.0;25.625;5.7;0.0
49.5;20.525;7.640000000000001;0.0
51.0;25.125;2.2;0.0
52.5;27.275;3.22;0.0
54.0;28.0;5.040000000000001;0.0
55.5;27.5;3.5200000000000005;0.0
57.0;24.275;1.46;0.0
58.5;28.425;6.980000000000001;0.0
60.0;27.575;5.080000000000001;0.0
61.5;20.4;5.380000000000001;0.0
63.0;28.175;4.04;0.0
64.5;26.25;8.28;0.0
66.0;25.925;2.3200000000000003;0.0
67.5;27.325;1.3599999999999999;0.0
69.0;28.0;7.159999999999999;0.0
70.5;28.275;6.640000000000001;0.0
72.0;25.075;1.46;0.0
73.5;23.5;7.640000000000001;0.0
75.0;26.25;7.599999999999999;0.0
76.5;30.175;4.58;0.0
78.0;25.275;5.3;0.0
79.5;25.925;2.8600000000000003;0.0
81.0;23.825;6.26;0.0
82.5;26.675;4.340000000000001;0.0
84.0;32.3;5.46;0.0
85.5;24.5;4.24;0.0
87.0;27.05;2.12;0.0
88.5;27.3;5.960000000000001;0.0
90.0;29.1;5.78;0.0
91.5;29.075;2.46;0.0
93.0;27.175;6.62;0.0
94.5;28.675;3.72;0.0
96.0;23.25;3.12;0.0
97.5;28.025;6.0600000000000005;0.0
99.0;30.325;8.36;0.0
