variant,policy,run_id,iteration,simulation_seed,timestamp,num_devices,lambda,w_failure,w_service,candidate_count,catalogue_fraction,catalogue_subset_seed,full_catalogue_count,selected_catalogue_count,catalogue_sha256,optimizer_time_ms,previous_alpha,selected_alpha,weighted_predicted_failure_rate,weighted_predicted_dnst,performance_cost,reconfiguration_cost,joint_cost,hard_stability_enabled,r_max,feasible_candidate_count,constraint_active,reconfigured,stability_violation,unconstrained_reconfiguration_cost,unconstrained_performance_cost,app_weight_0,previous_w_load_0,previous_threshold_0,selected_w_load_0,selected_threshold_0,predicted_failure_rate_0,predicted_dnst_0,app_weight_1,previous_w_load_1,previous_threshold_1,selected_w_load_1,selected_threshold_1,predicted_failure_rate_1,predicted_dnst_1,app_weight_2,previous_w_load_2,previous_threshold_2,selected_w_load_2,selected_threshold_2,predicted_failure_rate_2,predicted_dnst_2
SCOPE,RT_OPT_ML,iteration_5,5,20260833,70.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,78.81662499858066,0.6,0.6,0.1588889294834228,0.7471239154735566,0.20364327597277718,0.0,0.16291462077822175,True,0.15,8,True,False,False,0.1634920634920635,0.1258219044316537,0.506113769271664,0.5,85.0,0.5,85.0,0.15588825941085815,0.7500383257865906,0.3666135034556087,0.7,80.0,0.7,80.0,0.15644991397857666,0.7380083799362183,0.12727272727272726,0.4,90.0,0.4,90.0,0.17784708738327026,0.7617920637130737
SCOPE,RT_OPT_ML,iteration_5,5,20260833,130.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,68.0737090006005,0.6,0.6,0.26830814476443515,0.7726882520316586,0.2894424832517293,0.0,0.23155398660138343,True,0.15,8,True,False,False,0.1634920634920635,0.18457276100147324,0.5061620572537603,0.5,85.0,0.5,85.0,0.2584403157234192,0.7914620637893677,0.3660844250363901,0.7,80.0,0.7,80.0,0.27460259199142456,0.7582409381866455,0.12775351770984958,0.4,90.0,0.4,90.0,0.2893676161766052,0.7397055625915527
SCOPE,RT_OPT_ML,iteration_5,5,20260833,190.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,68.52887500281213,0.6,0.6,0.2703244979758927,0.7933745580927578,0.30003924532107806,0.0,0.24003139625686246,True,0.15,8,True,False,False,0.1634920634920635,0.19444755467763436,0.512861658157063,0.5,85.0,0.5,85.0,0.2607268989086151,0.8117895722389221,0.362703622659859,0.7,80.0,0.7,80.0,0.27474528551101685,0.7838554978370667,0.12443471918307805,0.4,90.0,0.4,90.0,0.2969955503940582,0.7452227473258972
SCOPE,RT_OPT_ML,iteration_5,5,20260833,250.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,67.69237499975134,0.6,0.6,0.2841609709020505,0.7935222012415679,0.3095129881498597,0.0,0.24761039051988779,True,0.15,8,True,False,False,0.1634920634920635,0.20382024860843478,0.5048112147706736,0.5,85.0,0.5,85.0,0.2713920772075653,0.8136683702468872,0.370585649391882,0.7,80.0,0.7,80.0,0.2922993004322052,0.7754303216934204,0.12460313583744444,0.4,90.0,0.4,90.0,0.3116878271102905,0.7657105326652527
SCOPE,RT_OPT_ML,iteration_5,5,20260833,310.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,77.97587499953806,0.6,0.6,0.2890213340168551,0.7972673510325976,0.31448799616100837,0.0,0.2515903969288067,True,0.15,8,True,False,False,0.1634920634920635,0.2070003120109607,0.5034499396863691,0.5,85.0,0.5,85.0,0.2801763117313385,0.8213924765586853,0.36868516284680336,0.7,80.0,0.7,80.0,0.29527828097343445,0.7808905243873596,0.1278648974668275,0.4,90.0,0.4,90.0,0.30580610036849976,0.7494989633560181
SCOPE,RT_OPT_ML,iteration_5,5,20260833,370.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,148.98966700275196,0.6,0.6,0.28794658847337995,0.7878934926219626,0.30957664307218125,0.0,0.247661314457745,True,0.15,8,True,False,False,0.1634920634920635,0.2047771357531978,0.5162856172030484,0.5,85.0,0.5,85.0,0.2796596884727478,0.8074650168418884,0.35731275180816463,0.7,80.0,0.7,80.0,0.293369323015213,0.7778656482696533,0.12640163098878696,0.4,90.0,0.4,90.0,0.3064652979373932,0.7363006472587585
SCOPE,RT_OPT_ML,iteration_5,5,20260833,430.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,75.8404590014834,0.6,0.6,0.27686697836013446,0.7951080737364181,0.305260825174069,0.0,0.2442086601392552,True,0.15,8,True,False,False,0.1634920634920635,0.20283073906931126,0.5117214320745463,0.5,85.0,0.5,85.0,0.2661200761795044,0.8193359971046448,0.3600294261893085,0.7,80.0,0.7,80.0,0.28267574310302734,0.7756957411766052,0.12824914173614516,0.4,90.0,0.4,90.0,0.30344098806381226,0.7529328465461731
SCOPE,RT_OPT_ML,iteration_5,5,20260833,490.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,66.58804199832957,0.6,0.6,0.2750788984641637,0.7954733780393861,0.30420796793159205,0.0,0.24336637434527364,True,0.15,8,True,False,False,0.1634920634920635,0.20295596638313956,0.5046966731898239,0.5,85.0,0.5,85.0,0.2643968164920807,0.8173260688781738,0.36775929549902153,0.7,80.0,0.7,80.0,0.28195106983184814,0.7816875576972961,0.1275440313111546,0.4,90.0,0.4,90.0,0.29753315448760986,0.7487513422966003
SCOPE,RT_OPT_ML,iteration_5,5,20260833,550.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,66.08695800241549,0.6,0.6,0.2756771803989633,0.7839160018029859,0.2994603487487855,0.0,0.23956827899902844,True,0.15,8,True,False,False,0.1634920634920635,0.19587543763461382,0.5091218681585988,0.5,85.0,0.5,85.0,0.26691633462905884,0.803398609161377,0.3623935782048163,0.7,80.0,0.7,80.0,0.27959612011909485,0.7727924585342407,0.1284845536365848,0.4,90.0,0.4,90.0,0.299338698387146,0.7380900979042053
SCOPE,RT_OPT_ML,iteration_5,5,20260833,610.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,81.57704200129956,0.6,0.6,0.28433831110531105,0.7901116653683947,0.30811252142669265,0.0,0.24649001714135413,True,0.15,8,True,False,False,0.1634920634920635,0.20059815969663541,0.5053279890507381,0.5,85.0,0.5,85.0,0.2733417749404907,0.8136183619499207,0.36816893146935187,0.7,80.0,0.7,80.0,0.2910318076610565,0.7743389010429382,0.12650307947991005,0.4,90.0,0.4,90.0,0.30878451466560364,0.742116391658783
