app_id,target,feature,gain,normalized_gain
0,failure_rate,state_failed_1,1.987317442893982,0.556412295517881
0,failure_rate,state_failed_2,0.5300878286361694,0.14841483257351695
0,failure_rate,state_failed_0,0.31979361176490784,0.0895363235754374
0,failure_rate,candidate_alpha,0.16594718396663666,0.04646215625780638
0,failure_rate,num_devices,0.06856953352689743,0.019198206954160295
0,failure_rate,state_lag_total_0,0.06757237762212753,0.01891902165945757
0,failure_rate,state_total_0,0.05240454524755478,0.0146723078494703
0,failure_rate,state_lag_total_1,0.038099098950624466,0.010667046263836749
0,failure_rate,state_sent_rsu,0.03789164125919342,0.010608961929738672
0,failure_rate,state_total_1,0.03737194463610649,0.010463456443406504
0,failure_rate,state_deadline_miss_rate_2,0.03366194665431976,0.009424725313262248
0,failure_rate,state_sent_edge,0.03050493448972702,0.008540820030912933
0,failure_rate,previous_alpha,0.02627805806696415,0.007357372453541991
0,failure_rate,state_lag_total_2,0.0198898334056139,0.005568787161939208
0,failure_rate,state_mean_service_time_2,0.01820649579167366,0.005097483621957122
0,failure_rate,state_completed_0,0.015825198963284492,0.00443076435205327
0,failure_rate,state_total_2,0.01548265852034092,0.004334859334539612
0,failure_rate,state_completed_1,0.015419035218656063,0.004317045981436171
0,failure_rate,state_deadline_miss_rate_1,0.012246249243617058,0.003428724322573456
0,failure_rate,state_deadline_norm_service_time_2,0.010531209409236908,0.0029485447445376316
0,failure_rate,state_fail_rsu,0.010261879302561283,0.00287313727330383
0,failure_rate,state_completed_2,0.007492475211620331,0.0020977551153265298
0,failure_rate,state_sent_gsm,0.005207587964832783,0.001458028753274761
0,failure_rate,state_deadline_norm_service_time_1,0.004801269620656967,0.0013442670976307259
0,failure_rate,state_fail_gsm,0.004382092505693436,0.0012269052229089007
0,failure_rate,state_deadline_norm_service_time_0,0.0030086541082710028,0.0008423677579987295
0,failure_rate,state_fail_edge,0.0028300851117819548,0.0007923717266147812
0,failure_rate,state_failure_rate_1,0.0026122652925550938,0.0007313861875109646
0,failure_rate,state_failure_rate_2,0.0023623451124876738,0.0006614131383713896
0,failure_rate,state_deadline_miss_rate_0,0.0022670417092740536,0.0006347299401021006
0,failure_rate,candidate_threshold_1,0.00216993922367692,0.0006075430318883253
0,failure_rate,state_mean_service_time_1,0.0021667906548827887,0.0006066614905942543
0,failure_rate,state_failure_rate_0,0.0021529695950448513,0.000602791848299102
