app_id,target,run_id,num_devices,window_id,candidate_count,prediction_min,prediction_max,prediction_range,prediction_std
0,failure_rate,iteration_5,1500,13,50,0.016919653862714767,0.6352527141571045,0.6183330416679382,0.22559212148189545
0,failure_rate,iteration_5,1700,15,50,0.11572793871164322,0.6725519299507141,0.5568239688873291,0.17440937459468842
0,failure_rate,iteration_5,1400,10,50,0.009749037213623524,0.6341453790664673,0.6243963241577148,0.23391255736351013
0,failure_rate,iteration_5,1600,51,50,0.08247894048690796,0.670452892780304,0.587973952293396,0.1883467435836792
0,failure_rate,iteration_5,1600,49,50,0.08218938857316971,0.66480952501297,0.5826201438903809,0.18651023507118225
0,failure_rate,iteration_5,1400,8,50,0.01105174794793129,0.634344756603241,0.6232929825782776,0.23360684514045715
0,failure_rate,iteration_5,1300,54,50,0.0,0.6223092079162598,0.6223092079162598,0.22875584661960602
0,failure_rate,iteration_5,1600,34,50,0.08669325709342957,0.6713123321533203,0.5846190452575684,0.1873423010110855
0,failure_rate,iteration_5,1500,3,50,0.0,0.6508488059043884,0.6508488059043884,0.2274194061756134
0,failure_rate,iteration_5,1400,12,50,0.0004971681046299636,0.6423979997634888,0.6419008374214172,0.22860923409461975
0,failure_rate,iteration_5,1800,4,50,0.16398252546787262,0.697449266910553,0.5334667563438416,0.1788375973701477
0,failure_rate,iteration_5,1800,41,50,0.1641727089881897,0.6815891265869141,0.5174164175987244,0.17973078787326813
0,failure_rate,iteration_5,1800,56,50,0.1562802642583847,0.6917800903320312,0.5354998111724854,0.1798156052827835
0,failure_rate,iteration_5,1300,51,50,0.0,0.6246622204780579,0.6246622204780579,0.23270821571350098
0,failure_rate,iteration_5,1600,48,50,0.09019961953163147,0.6682726144790649,0.5780730247497559,0.18578484654426575
0,failure_rate,iteration_5,1500,5,50,0.019110675901174545,0.6578614115715027,0.6387507319450378,0.2233007848262787
0,failure_rate,iteration_5,1300,53,50,0.0,0.629153311252594,0.629153311252594,0.23287391662597656
0,failure_rate,iteration_5,1700,23,50,0.15039655566215515,0.6790095567703247,0.5286129713058472,0.1705331653356552
0,failure_rate,iteration_5,1300,11,50,0.0012215519091114402,0.6308490037918091,0.6296274662017822,0.23926445841789246
0,failure_rate,iteration_5,1800,16,50,0.1330161690711975,0.6708424687385559,0.5378262996673584,0.17839883267879486
0,failure_rate,iteration_5,1300,30,50,0.0005725915543735027,0.6074584126472473,0.6068858504295349,0.23056387901306152
0,failure_rate,iteration_5,1700,55,50,0.10009876638650894,0.6404871940612793,0.5403884053230286,0.1749473661184311
0,failure_rate,iteration_5,1600,41,50,0.0754472091794014,0.6523783802986145,0.5769311785697937,0.20029188692569733
0,failure_rate,iteration_5,1700,4,50,0.13199478387832642,0.6919581890106201,0.5599634051322937,0.1777016669511795
0,failure_rate,iteration_5,1500,42,50,0.007704112213104963,0.6529688239097595,0.6452646851539612,0.22154594957828522
0,failure_rate,iteration_5,1700,29,50,0.12380389869213104,0.6557985544204712,0.531994640827179,0.17204821109771729
0,failure_rate,iteration_5,1700,40,50,0.126752570271492,0.6600061058998108,0.53325355052948,0.173970565199852
0,failure_rate,iteration_5,1500,23,50,0.026716535910964012,0.6287348866462708,0.6020183563232422,0.21752215921878815
0,failure_rate,iteration_5,1600,52,50,0.058760806918144226,0.6339386105537415,0.575177788734436,0.19894695281982422
0,failure_rate,iteration_5,1300,24,50,0.0071436017751693726,0.6462923288345337,0.6391487121582031,0.2420896291732788
0,deadline_norm_service_time,iteration_5,1500,13,50,0.631653368473053,1.2302333116531372,0.5985799431800842,0.17427517473697662
0,deadline_norm_service_time,iteration_5,1700,15,50,0.7479668259620667,1.300890564918518,0.5529237389564514,0.15754370391368866
0,deadline_norm_service_time,iteration_5,1400,10,50,0.6230276823043823,1.2554720640182495,0.6324443817138672,0.18982085585594177
0,deadline_norm_service_time,iteration_5,1600,51,50,0.7146898508071899,1.324109435081482,0.609419584274292,0.1516631692647934
0,deadline_norm_service_time,iteration_5,1600,49,50,0.7152843475341797,1.3218904733657837,0.606606125831604,0.15043793618679047
