app_id,target,model_type,split,rows,mae,rmse,r2
0,failure_rate,training_mean,train,2970,0.18468947656822357,0.21642803560000234,0.0
0,failure_rate,training_mean,validation,990,0.1789193150938307,0.2098262580956619,-0.004133012980919837
0,failure_rate,training_mean,test,990,0.18070377357815226,0.2135407958728627,-0.0004256289611874742
0,failure_rate,state_only_xgboost,train,2970,0.05795816100729865,0.10341161696724713,0.7716969977634884
0,failure_rate,state_only_xgboost,validation,990,0.06333343187230144,0.11546634995448811,0.6959237862766338
0,failure_rate,state_only_xgboost,test,990,0.07131612160916011,0.12518696567873952,0.6561719367417878
0,failure_rate,candidate_aware_xgboost,train,2970,0.002593959298025849,0.004175703278138413,0.9996277521262407
0,failure_rate,candidate_aware_xgboost,validation,990,0.01056511301245477,0.0210228252538956,0.9899201577634473
0,failure_rate,candidate_aware_xgboost,test,990,0.011790991849744923,0.02272563705847192,0.9886693394772194
0,deadline_norm_service_time,training_mean,train,2970,0.1343361339231077,0.1710320894850183,0.0
0,deadline_norm_service_time,training_mean,validation,990,0.13339599043182088,0.1767885177368627,-0.0019827312127567165
0,deadline_norm_service_time,training_mean,test,990,0.13235152855305937,0.1722646472910447,-0.0030150936721697885
0,deadline_norm_service_time,state_only_xgboost,train,2970,0.0543827011254341,0.09154555042820776,0.7135035285078657
0,deadline_norm_service_time,state_only_xgboost,validation,990,0.06332233683584099,0.10970905931604373,0.6141334694575165
0,deadline_norm_service_time,state_only_xgboost,test,990,0.06699173554173256,0.11309120916274923,0.5677123334584132
0,deadline_norm_service_time,candidate_aware_xgboost,train,2970,0.01010293093913058,0.014111787237628839,0.9931921678886098
0,deadline_norm_service_time,candidate_aware_xgboost,validation,990,0.02179145486788577,0.03498065964876266,0.9607709205127613
0,deadline_norm_service_time,candidate_aware_xgboost,test,990,0.02300600392030603,0.03463361097514561,0.9594574838199934
1,failure_rate,training_mean,train,2970,0.18697128352955716,0.21848895676466212,0.0
1,failure_rate,training_mean,validation,990,0.18130540065051046,0.21220147478855883,-0.0038189299373774244
1,failure_rate,training_mean,test,990,0.18264294940150044,0.21554275137283305,-0.00046177044349837715
1,failure_rate,state_only_xgboost,train,2970,0.058045881212884336,0.1031102527445867,0.7772874344822314
1,failure_rate,state_only_xgboost,validation,990,0.06353807528757895,0.11554952214955685,0.7023575346288577
1,failure_rate,state_only_xgboost,test,990,0.0716076011053094,0.12556410141009436,0.6604805649734833
1,failure_rate,candidate_aware_xgboost,train,2970,0.0033205178394903113,0.005335637455918166,0.9994036329458214
1,failure_rate,candidate_aware_xgboost,validation,990,0.010763258584129473,0.021413259810765844,0.9897782758102236
1,failure_rate,candidate_aware_xgboost,test,990,0.012060877255687136,0.022901438998977657,0.988705703174962
1,deadline_norm_service_time,training_mean,train,2970,0.15623546298035101,0.18349073151872128,0.0
1,deadline_norm_service_time,training_mean,validation,990,0.1553372200109856,0.18562191951084475,-0.0020045203998375616
1,deadline_norm_service_time,training_mean,test,990,0.1519610161939881,0.1781182141242199,-0.0014509876361181728
1,deadline_norm_service_time,state_only_xgboost,train,2970,0.06229846752551862,0.10603405777786767,0.6660645703089721
1,deadline_norm_service_time,state_only_xgboost,validation,990,0.06551921584913811,0.11669402667705027,0.603987938144972
1,deadline_norm_service_time,state_only_xgboost,test,990,0.07203095550384545,0.12298130818550866,0.5225902855516019
1,deadline_norm_service_time,candidate_aware_xgboost,train,2970,0.006539681722928866,0.00854455370396926,0.9978315445541748
1,deadline_norm_service_time,candidate_aware_xgboost,validation,990,0.01751991797635612,0.027343034287961598,0.9782577454419953
1,deadline_norm_service_time,candidate_aware_xgboost,test,990,0.02036082340066839,0.032965193181991294,0.9656976175077777
2,failure_rate,training_mean,train,2970,0.19217303604570876,0.22355352756073105,0.0
2,failure_rate,training_mean,validation,990,0.18628315764593925,0.21736646735575382,-0.0039321280397308644
2,failure_rate,training_mean,test,990,0.1878591726262488,0.22054347454593776,-0.00043274449342134425
2,failure_rate,state_only_xgboost,train,2970,0.05835731219872623,0.10329716925463336,0.7864921800083939
2,failure_rate,state_only_xgboost,validation,990,0.06435204852580555,0.11567075981757269,0.7157068241383259
2,failure_rate,state_only_xgboost,test,990,0.07200404351376054,0.1254558838288894,0.6762710475993681
2,failure_rate,candidate_aware_xgboost,train,2970,0.0030196720110671916,0.004252769260543493,0.9996381066640653
2,failure_rate,candidate_aware_xgboost,validation,990,0.012393949367872543,0.02306884211389836,0.9886923892079055
2,failure_rate,candidate_aware_xgboost,test,990,0.013471391253774445,0.024680104294184168,0.9874716622087365
2,deadline_norm_service_time,training_mean,train,2970,0.2076609108881052,0.23983811976297986,0.0
2,deadline_norm_service_time,training_mean,validation,990,0.20977681311460314,0.24037235030978263,-0.0031478561272224592
2,deadline_norm_service_time,training_mean,test,990,0.20423663385854432,0.23655878301274927,-0.000446655149472841
2,deadline_norm_service_time,state_only_xgboost,train,2970,0.06766563771533497,0.11303052660658779,0.7778966647193457
2,deadline_norm_service_time,state_only_xgboost,validation,990,0.07130955547708037,0.12417560944706342,0.7322875738898487
2,deadline_norm_service_time,state_only_xgboost,test,990,0.07932822485724152,0.13285652959954333,0.6844402598678201
2,deadline_norm_service_time,candidate_aware_xgboost,train,2970,0.009337796608712342,0.012072930976495477,0.9974661026709373
2,deadline_norm_service_time,candidate_aware_xgboost,validation,990,0.020462937085098918,0.02879409778867764,0.9856052913227837
2,deadline_norm_service_time,candidate_aware_xgboost,test,990,0.021959139512665163,0.03510814990490929,0.9779640554896525
