600.00,44596,22478,10389,44596,22478,10389,0.0000,0.00,0.00,0.00
1200.00,44596,22478,10389,0,0,0,5.8000,0.00,0.00,0.00
1800.00,44596,22478,10389,0,0,0,2.0750,0.00,0.00,0.00
2400.00,44596,22478,10389,0,0,0,2.0750,0.00,0.00,0.00
3000.00,44596,22478,10389,0,0,0,8.2750,0.00,0.00,0.00
600.00,83054,48231,21031,38458,25753,10642,0.0000,0.00,0.00,0.00
1200.00,83054,48231,21031,0,0,0,14.3250,0.00,0.00,0.00
1800.00,83054,48231,21031,0,0,0,3.7250,0.00,0.00,0.00
2400.00,83054,48231,21031,0,0,0,5.4750,0.00,0.00,0.00
3000.00,83054,48231,21031,0,0,0,15.6000,0.00,0.00,0.00
600.00,124971,89780,25362,41917,41549,4331,0.0000,0.00,0.00,0.00
1200.00,124971,89780,25362,0,0,0,17.9000,0.00,0.00,0.00
1800.00,124971,89780,25362,0,0,0,6.8000,0.00,0.00,0.00
2400.00,124971,89780,25362,0,0,0,5.0500,0.00,0.00,0.00
3000.00,124971,89780,25362,0,0,0,28.3000,0.00,0.00,0.00
600.00,171824,100402,38855,46853,10622,13493,0.0000,0.00,0.00,0.00
1200.00,171824,100402,38855,0,0,0,25.5750,0.00,0.00,0.00
1800.00,171824,100402,38855,0,0,0,12.6750,0.00,0.00,0.00
2400.00,171824,100402,38855,0,0,0,7.3000,0.00,0.00,0.00
3000.00,171824,100402,38855,0,0,0,39.9000,0.00,0.00,0.00
600.00,206098,132356,48701,34274,31954,9846,0.0000,0.00,0.00,0.00
1200.00,206098,132356,48701,0,0,0,25.7500,0.00,0.00,0.00
1800.00,206098,132356,48701,0,0,0,6.5000,0.00,0.00,0.00
2400.00,206098,132356,48701,0,0,0,9.0250,0.00,0.00,0.00
3000.00,206098,132356,48701,0,0,0,50.6500,0.00,0.00,0.00
600.00,248288,157490,59148,42190,25134,10447,0.0000,0.00,0.00,0.00
1200.00,248288,157490,59148,0,0,0,39.2000,0.00,0.00,0.00
1800.00,248288,157490,59148,0,0,0,12.9750,0.00,0.00,0.00
2400.00,248288,157490,59148,0,0,0,13.4750,0.00,0.00,0.00
3000.00,248288,157490,59148,0,0,0,57.1750,0.00,0.00,0.00
600.00,262282,205730,66300,13994,48240,7152,0.0000,0.00,0.00,0.00
1200.00,262282,205730,66300,0,0,0,47.1500,0.00,0.00,0.00
1800.00,262282,205730,66300,0,0,0,17.4000,0.00,0.00,0.00
2400.00,262282,205730,66300,0,0,0,18.8500,0.00,0.00,0.00
3000.00,262282,205730,66300,0,0,0,62.8000,0.00,0.00,0.00
600.00,320083,243459,68957,57801,37729,2657,0.0000,0.00,0.00,0.00
1200.00,320083,243459,68957,0,0,0,61.1750,0.00,0.00,0.00
1800.00,320083,243459,68957,0,0,0,20.8250,0.00,0.00,0.00
2400.00,320083,243459,68957,0,0,0,16.5000,0.00,0.00,0.00
3000.00,320083,243459,68957,0,0,0,63.0250,0.00,0.00,0.00
600.00,363356,264701,79826,43273,21242,10869,0.0000,0.00,0.00,0.00
1200.00,363356,264701,79826,0,0,0,70.1000,0.00,0.00,0.00
1800.00,363356,264701,79826,0,0,0,19.2250,0.00,0.00,0.00
2400.00,363356,264701,79826,0,0,0,17.9000,0.00,0.00,0.00
3000.00,363356,264701,79826,0,0,0,72.3250,0.00,0.00,0.00
600.00,437345,277068,87808,73989,12367,7982,0.0000,0.00,0.00,0.00
1200.00,437345,277068,87808,0,0,0,73.9500,0.00,0.00,0.00
1800.00,437345,277068,87808,0,0,0,19.4250,0.00,0.00,0.00
2400.00,437345,277068,87808,0,0,0,23.1500,0.00,0.00,0.00
3000.00,437345,277068,87808,0,0,0,78.2500,0.00,0.00,0.00
600.00,438604,310880,103188,1259,33812,15380,0.0000,0.00,0.00,0.00
1200.00,438604,310880,103188,0,0,0,75.9000,0.00,0.00,0.00
1800.00,438604,310880,103188,0,0,0,20.6000,0.00,0.00,0.00
2400.00,438604,310880,103188,0,0,0,28.7750,0.00,0.00,0.00
3000.00,438604,310880,103188,0,0,0,76.1000,0.00,0.00,0.00
600.00,480774,330320,114990,42170,19440,11802,0.0000,0.00,0.00,0.00
1200.00,480774,330320,114990,0,0,0,72.0750,0.00,0.00,0.00
1800.00,480774,330320,114990,0,0,0,27.3500,0.00,0.00,0.00
2400.00,480774,330320,114990,0,0,0,27.6250,0.00,0.00,0.00
3000.00,480774,330320,114990,0,0,0,76.1000,0.00,0.00,0.00
600.00,539514,367213,117377,58740,36893,2387,0.0000,0.00,0.00,0.00
1200.00,539514,367213,117377,0,0,0,75.7250,0.00,0.00,0.00
1800.00,539514,367213,117377,0,0,0,28.3750,0.00,0.00,0.00
2400.00,539514,367213,117377,0,0,0,26.2500,0.00,0.00,0.00
3000.00,539514,367213,117377,0,0,0,81.3750,0.00,0.00,0.00
600.00,529393,382772,141546,-10121,15559,24169,0.0000,0.00,0.00,0.00
1200.00,529393,382772,141546,0,0,0,81.0250,0.00,0.00,0.00
1800.00,529393,382772,141546,0,0,0,27.4750,0.00,0.00,0.00
2400.00,529393,382772,141546,0,0,0,30.0750,0.00,0.00,0.00
3000.00,529393,382772,141546,0,0,0,83.2250,0.00,0.00,0.00
600.00,615531,399043,146089,86138,16271,4543,0.0000,0.00,0.00,0.00
1200.00,615531,399043,146089,0,0,0,76.6500,0.00,0.00,0.00
1800.00,615531,399043,146089,0,0,0,29.2750,0.00,0.00,0.00
2400.00,615531,399043,146089,0,0,0,28.8000,0.00,0.00,0.00
3000.00,615531,399043,146089,0,0,0,80.3250,0.00,0.00,0.00
600.00,662781,452466,145691,47250,53423,-398,0.0000,0.00,0.00,0.00
1200.00,662781,452466,145691,0,0,0,85.0000,0.00,0.00,0.00
1800.00,662781,452466,145691,0,0,0,31.2000,0.00,0.00,0.00
2400.00,662781,452466,145691,0,0,0,30.2250,0.00,0.00,0.00
3000.00,662781,452466,145691,0,0,0,83.1000,0.00,0.00,0.00
600.00,717872,441080,163924,55091,-11386,18233,0.0000,0.00,0.00,0.00
1200.00,717872,441080,163924,0,0,0,84.3500,0.00,0.00,0.00
1800.00,717872,441080,163924,0,0,0,36.7500,0.00,0.00,0.00
2400.00,717872,441080,163924,0,0,0,39.0750,0.00,0.00,0.00
3000.00,717872,441080,163924,0,0,0,84.9500,0.00,0.00,0.00
600.00,700410,507588,172947,-17462,66508,9023,0.0000,0.00,0.00,0.00
1200.00,700410,507588,172947,0,0,0,84.7750,0.00,0.00,0.00
1800.00,700410,507588,172947,0,0,0,42.8000,0.00,0.00,0.00
2400.00,700410,507588,172947,0,0,0,43.4250,0.00,0.00,0.00
3000.00,700410,507588,172947,0,0,0,83.1500,0.00,0.00,0.00
