#auto generated file!
10.2;12;17;23;21;20;31;24;23;24;28;19;9;20;28;28;17;12;18;16;23;21;17;24;18;21;16;27;21;12;19;19;27;17;16;18;17;15;23;23;16
10.5;12;17;23;21;20;31;24;23;24;28;19;9;20;27;29;17;11;19;16;22;21;18;24;18;21;16;27;21;12;19;19;26;18;16;18;16;16;23;22;17
10.799999999999999;12;16;24;21;20;31;24;23;24;28;19;9;20;26;30;17;11;19;16;22;21;18;24;17;22;16;27;21;12;19;19;26;18;16;18;14;18;21;24;17
11.1;12;16;24;21;19;32;22;25;23;29;19;9;20;26;30;16;12;19;16;21;22;18;24;17;22;16;27;21;11;20;19;26;18;16;18;14;17;21;25;17
11.4;13;16;24;21;19;32;22;25;23;28;20;9;20;25;30;17;12;19;16;21;22;18;24;17;22;16;27;21;11;20;19;26;18;16;18;14;17;21;25;16
11.7;13;15;24;22;19;32;22;25;23;28;20;9;20;25;30;17;12;19;16;20;23;18;24;17;22;16;27;21;11;20;19;26;17;17;18;13;18;21;25;16
12.0;14;15;23;23;19;32;22;25;23;28;20;9;20;25;30;16;13;19;16;19;24;18;24;17;21;17;27;21;11;20;19;26;17;17;18;13;18;21;24;16
12.299999999999999;14;15;23;23;19;31;23;24;24;28;20;9;20;25;29;16;14;19;15;20;24;18;24;17;21;17;27;21;11;20;19;26;17;16;19;12;18;22;24;16
12.6;14;15;23;22;20;31;23;24;24;28;20;9;20;24;30;16;14;19;15;20;24;18;24;17;21;17;27;21;11;20;19;26;17;16;19;12;18;22;24;16
12.9;14;15;23;22;20;30;24;24;24;28;19;10;20;23;31;16;14;19;15;20;24;18;24;17;21;17;27;21;11;20;19;26;17;16;19;12;18;22;24;16
13.2;14;14;24;22;20;30;24;24;24;28;19;10;20;23;30;17;14;19;14;21;24;18;24;17;21;17;27;21;11;20;19;26;16;17;18;11;20;22;24;16
13.5;13;15;24;22;20;30;24;24;23;29;19;9;21;21;32;17;13;20;14;20;25;18;23;18;21;16;28;21;11;20;19;26;16;17;18;11;20;22;24;16
13.799999999999999;15;14;25;21;21;30;24;24;23;29;19;8;22;21;31;18;13;19;15;20;25;18;23;18;21;16;28;21;11;20;19;26;15;17;18;12;20;21;25;14
14.1;15;14;25;21;21;30;24;24;23;27;21;8;22;21;31;17;13;20;15;19;26;18;22;18;22;16;28;21;9;22;19;25;16;17;18;12;20;20;26;14
14.399999999999999;15;12;27;21;21;30;22;26;22;28;21;8;22;21;31;17;13;20;14;20;26;17;23;18;20;18;28;20;10;22;19;25;16;17;18;11;21;20;26;14
14.7;15;11;27;22;21;30;22;25;23;28;21;8;22;21;30;18;13;20;14;19;26;18;23;16;22;17;29;20;10;22;19;25;16;17;16;13;21;20;26;14
15.0;15;10;28;21;22;30;22;25;23;27;22;8;22;21;30;18;13;20;14;18;27;18;22;17;22;17;29;20;10;21;20;25;16;17;16;12;22;20;26;14
15.299999999999999;15;9;27;23;21;31;22;25;22;28;22;8;22;21;30;18;13;20;14;17;28;18;22;17;22;17;29;19;11;21;20;25;15;18;16;11;23;20;26;14
15.6;15;9;26;24;21;31;22;25;22;28;22;6;24;21;30;18;12;21;13;18;27;19;22;17;21;18;29;19;11;21;20;25;15;18;16;11;23;19;25;16
15.899999999999999;15;9;26;24;21;31;22;24;23;28;22;6;24;21;30;18;12;21;13;18;27;18;23;16;21;19;29;19;11;21;20;25;15;18;16;11;23;19;25;16
16.2;15;9;25;25;21;31;20;25;24;28;22;6;24;21;30;18;12;21;13;18;27;18;23;16;21;19;29;19;11;21;20;22;18;17;17;11;23;19;25;16
