#auto generated file!
10.2;21;29;22;23;23;18;26;17;24;15;26;18;28;18;19;22;22;23;17;27;30;23;23;20;33;26;21;22;21;23;12;21;30;20;24;19;20;19;28;27
10.5;21;29;22;23;23;18;26;17;24;15;26;18;28;18;19;22;22;23;17;26;30;23;23;21;32;27;21;21;22;23;11;22;30;20;24;19;19;19;29;27
10.799999999999999;21;28;22;24;23;18;26;17;24;15;26;18;28;18;18;22;23;23;17;25;30;24;22;22;32;27;21;20;23;23;11;22;30;20;23;20;19;19;28;28
11.1;21;28;22;24;23;18;26;17;24;15;25;19;28;18;17;22;24;23;17;25;30;22;22;24;31;27;22;20;23;23;11;21;30;21;23;20;19;19;28;28
11.4;21;28;22;23;24;18;26;17;23;16;24;20;28;18;17;22;23;24;17;24;31;22;21;25;31;26;23;20;23;23;11;21;30;20;24;20;19;19;26;30
11.7;22;26;23;24;24;17;26;17;24;16;24;20;27;18;18;21;24;24;17;23;32;22;21;25;30;27;23;20;23;23;11;20;30;21;24;20;19;19;26;29
12.0;22;25;23;24;24;18;26;17;24;16;24;20;27;18;18;21;23;25;16;24;31;23;21;25;30;27;22;21;23;23;11;20;30;20;24;21;19;19;26;29
12.299999999999999;23;26;22;25;24;18;26;17;24;16;23;21;26;19;18;21;23;25;16;24;30;24;21;25;30;27;21;22;22;23;12;20;30;20;23;21;19;19;27;27
12.6;25;26;22;25;23;19;26;17;24;15;24;21;26;19;18;21;23;25;16;24;30;24;21;25;30;27;20;23;22;21;14;20;30;20;23;20;20;19;27;25
12.9;25;26;22;24;24;19;26;17;24;15;24;21;25;19;19;20;24;25;15;25;29;25;21;25;29;28;20;23;22;21;14;20;28;21;24;20;20;19;27;25
13.2;25;26;22;23;24;20;26;17;24;15;24;21;25;19;19;20;24;25;15;25;29;25;21;25;27;30;20;23;22;21;14;19;29;21;24;19;21;19;26;26
13.5;26;25;21;25;24;20;26;17;24;15;24;20;26;19;19;20;24;25;15;25;29;25;21;25;27;30;20;22;23;21;14;19;29;20;24;20;21;19;26;25
13.799999999999999;27;25;21;25;23;21;25;17;25;15;24;20;24;21;19;20;24;25;15;25;29;24;22;25;27;30;20;22;23;21;14;19;28;21;23;21;21;19;26;24
14.1;26;24;23;24;24;21;25;17;25;15;24;20;24;21;19;19;24;26;14;26;27;26;22;25;24;33;20;22;23;21;13;20;28;21;23;21;19;18;29;24
14.399999999999999;26;24;23;24;24;21;24;18;25;15;24;20;23;22;18;20;23;26;15;26;27;26;22;25;23;34;20;22;23;21;13;20;27;22;22;22;19;18;29;24
14.7;26;25;23;23;25;21;24;18;24;16;24;19;24;21;19;20;23;26;14;26;28;26;21;26;23;34;20;22;22;22;13;20;27;22;22;20;21;18;28;24
15.0;26;25;22;24;25;21;24;18;24;16;24;19;24;21;19;20;23;26;14;26;28;26;20;27;22;35;20;22;22;22;13;20;27;21;21;22;21;18;28;24
15.299999999999999;25;26;22;24;25;21;24;18;24;16;24;18;25;21;19;20;23;26;14;26;28;26;20;26;23;35;20;21;23;22;13;20;27;21;20;23;20;19;26;26
15.6;25;27;21;25;25;21;24;18;24;16;24;18;25;21;18;21;22;27;14;26;28;25;20;27;23;35;20;21;23;22;13;20;27;21;20;23;19;20;26;25
15.899999999999999;25;27;21;25;24;22;24;18;24;16;24;18;25;21;18;20;23;27;14;26;27;26;19;28;23;35;20;21;23;22;13;20;27;20;21;23;19;20;25;26
16.2;26;27;21;25;24;22;23;19;24;16;24;18;25;21;18;19;24;26;15;24;29;24;21;28;22;36;20;20;22;24;13;19;27;21;21;23;17;22;25;25
