iteration,vehicles,app,baseline,metric,scope_value,baseline_value,baseline_minus_scope
9,100,ALL_APPS,RANDOM,service_time_s,0.8182250585434448,0.36738818338156576,-0.4508368751618791
10,100,ALL_APPS,RANDOM,service_time_s,0.8230872625435415,0.36880493988042135,-0.45428232266312013
1,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.07080860507048012,0.07080860507048012,0.0
2,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.080087799958473,0.080087799958473,0.0
3,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.07313468846130647,0.07313468846130647,0.0
4,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.09021302403153665,0.09021302403153665,0.0
5,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.06532829302308511,0.06532829302308511,0.0
6,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.07521481807890718,0.07521481807890718,0.0
7,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.0800261056033813,0.0800261056033813,0.0
8,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.08271697143453714,0.08271697143453714,0.0
9,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.060280035099767273,0.060280035099767273,0.0
10,200,ALL_APPS,EXP3_MC,failure_rate_pct,0.08377613155955474,0.08377613155955474,0.0
1,200,ALL_APPS,EXP3_MC,service_time_s,0.7871014718098465,0.7871014718098465,0.0
2,200,ALL_APPS,EXP3_MC,service_time_s,0.775551107381762,0.775551107381762,0.0
3,200,ALL_APPS,EXP3_MC,service_time_s,0.8233116135672649,0.8233116135672649,0.0
4,200,ALL_APPS,EXP3_MC,service_time_s,0.7903751790081585,0.7903751790081585,0.0
5,200,ALL_APPS,EXP3_MC,service_time_s,0.78473127267008,0.78473127267008,0.0
6,200,ALL_APPS,EXP3_MC,service_time_s,0.853268889769644,0.853268889769644,0.0
7,200,ALL_APPS,EXP3_MC,service_time_s,0.8301617187364616,0.8301617187364616,0.0
8,200,ALL_APPS,EXP3_MC,service_time_s,0.8878689380446005,0.8878689380446005,0.0
9,200,ALL_APPS,EXP3_MC,service_time_s,0.8122450243713165,0.8122450243713165,0.0
10,200,ALL_APPS,EXP3_MC,service_time_s,0.8317308097029641,0.8317308097029641,0.0
1,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07080860507048012,0.07591850440546322,0.005109899334983098
2,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.080087799958473,0.07860469255183461,-0.001483107406638387
3,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07313468846130647,0.07313523987604707,5.514147406043834e-07
4,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.09021302403153665,0.08717999257074846,-0.003033031460788191
5,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.06532829302308511,0.06312621573017213,-0.0022020772929129823
