vehicles,app,baseline,metric,n_pairs,n_nonzero,scope_mean,scope_sd,baseline_mean,baseline_sd,mean_improvement,ci95_low,ci95_high,rank_biserial,wilcoxon_W,p_raw,p_holm,significant_holm_005
100,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.07041081267920213,0.00944150367283056,0.07041081267920213,0.00944150367283056,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
100,ALL_APPS,EXP3_MC,service_time_s,10,0,0.7990400638608144,0.04505467983940946,0.7990400638608144,0.04505467983940946,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,6,0.07041081267920213,0.00944150367283056,0.07083952769808802,0.01000894156697285,0.0004287150188858703,-0.0006629820367084552,0.001521521167648539,0.23809523809523808,8.0,0.6875,1.0,False
100,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.7990400638608144,0.04505467983940946,0.79898544410146,0.045057628855553984,-5.461975935434626e-05,-6.26214963371502e-05,-4.560967738099081e-05,-1.0,0.0,0.001953125,0.2109375,False
100,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.07041081267920213,0.00944150367283056,0.044859409320006344,0.010961176432330869,-0.025551403359195802,-0.031537764200200054,-0.019280744527865747,-1.0,0.0,0.001953125,0.2109375,False
100,ALL_APPS,RANDOM,service_time_s,10,10,0.7990400638608144,0.04505467983940946,0.3599496223683623,0.019584943021008824,-0.43909044149245213,-0.45457259001450667,-0.4243847992640874,-1.0,0.0,0.001953125,0.2109375,False
200,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.0761586472321029,0.009049515967629118,0.0761586472321029,0.009049515967629118,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
200,ALL_APPS,EXP3_MC,service_time_s,10,0,0.8176346025062099,0.03519559621836171,0.8176346025062099,0.03519559621836171,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.0761586472321029,0.009049515967629118,0.07560077308890585,0.008432583991861774,-0.0005578741431970472,-0.0018326083562988334,0.001050426326328515,-0.34545454545454546,18.0,0.375,1.0,False
200,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.8176346025062099,0.03519559621836171,0.8177343810830596,0.0352527888869149,9.977857684968505e-05,1.9422130749036094e-05,0.00019784811295862296,0.6727272727272727,9.0,0.064453125,1.0,False
200,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.0761586472321029,0.009049515967629118,0.04600875069006177,0.003226699113844473,-0.030149896542041123,-0.03524623843734927,-0.024980921637075815,-1.0,0.0,0.001953125,0.2109375,False
200,ALL_APPS,RANDOM,service_time_s,10,10,0.8176346025062099,0.03519559621836171,0.36804000369235,0.01545335541431058,-0.44959459881385977,-0.4617720541663628,-0.43861446856760666,-1.0,0.0,0.001953125,0.2109375,False
300,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.08007558914216634,0.0057608299962846705,0.08007558914216634,0.0057608299962846705,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
