variant,policy,run_id,iteration,simulation_seed,timestamp,num_devices,lambda,w_failure,w_service,candidate_count,optimizer_time_ms,previous_alpha,selected_alpha,weighted_predicted_failure_rate,weighted_predicted_dnst,performance_cost,reconfiguration_cost,joint_cost,hard_stability_enabled,r_max,feasible_candidate_count,constraint_active,reconfigured,stability_violation,unconstrained_reconfiguration_cost,unconstrained_performance_cost,app_weight_0,previous_w_load_0,previous_threshold_0,selected_w_load_0,selected_threshold_0,predicted_failure_rate_0,predicted_dnst_0,app_weight_1,previous_w_load_1,previous_threshold_1,selected_w_load_1,selected_threshold_1,predicted_failure_rate_1,predicted_dnst_1,app_weight_2,previous_w_load_2,previous_threshold_2,selected_w_load_2,selected_threshold_2,predicted_failure_rate_2,predicted_dnst_2
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,70.0,1800,0.0,0.5,0.5,2537,138.9340000023367,0.6,0.7,0.07938096014168822,0.6739230530439597,0.11693660215060953,0.5563492063492064,0.11693660215060953,False,0.15,2537,False,True,True,0.5563492063492064,0.11693660215060953,0.5350179774142908,0.5,85.0,0.7,20.0,0.08396071195602417,0.6889520287513733,0.35255988251379955,0.7,80.0,0.1,20.0,0.06436902284622192,0.6360228657722473,0.11242214007190966,0.4,90.0,0.6,25.0,0.10466385632753372,0.7212563753128052
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,130.0,1800,0.0,0.5,0.5,2536,121.7758330021752,0.7,0.7,0.1468595844131855,0.7149520912129059,0.18111597042203087,0.3261904761904762,0.18111597042203087,False,0.15,2536,False,True,True,0.3261904761904762,0.18111597042203087,0.5410406232609906,0.7,20.0,0.3,60.0,0.14300492405891418,0.7637733817100525,0.3427007976256724,0.1,20.0,0.1,95.0,0.14057806134223938,0.6458072066307068,0.11625857911333705,0.6,25.0,0.4,25.0,0.18331462144851685,0.6915706396102905
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,190.0,1800,0.0,0.5,0.5,2536,100.50204199797008,0.7,0.7,0.14805418969511502,0.7325357845663696,0.18977028019707495,0.4642857142857143,0.18977028019707495,False,0.15,2536,False,True,True,0.4642857142857143,0.18977028019707495,0.5437269458841107,0.3,60.0,0.1,20.0,0.13758067786693573,0.7438981533050537,0.34673390297427276,0.1,95.0,0.7,55.0,0.15484265983104706,0.7241554260253906,0.10953915114161647,0.4,25.0,0.6,95.0,0.17855413258075714,0.7026627063751221
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,250.0,1800,0.0,0.5,0.5,2536,197.17912501073442,0.7,0.7,0.17488612365971587,0.7477345496457581,0.21479265473778408,0.0,0.21479265473778408,False,0.15,2536,False,False,False,0.0,0.21479265473778408,0.5390719257540604,0.1,20.0,0.1,20.0,0.17075905203819275,0.755724310874939,0.3477958236658933,0.7,55.0,0.7,55.0,0.17256799340248108,0.7435300946235657,0.1131322505800464,0.6,95.0,0.6,95.0,0.20167799293994904,0.7225890755653381
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,310.0,1800,0.0,0.5,0.5,2536,131.73550000647083,0.7,0.7,0.1670606440954828,0.7436742444299153,0.207661007086535,0.0,0.207661007086535,False,0.15,2536,False,False,False,0.0,0.207661007086535,0.5423697125496612,0.1,20.0,0.1,20.0,0.16229265928268433,0.7484832406044006,0.3468100023369946,0.7,55.0,0.7,55.0,0.16547791659832,0.7386428117752075,0.11082028511334424,0.6,95.0,0.6,95.0,0.19534893333911896,0.7358841300010681
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,370.0,1800,0.0,0.5,0.5,2536,576.4403339999262,0.7,0.7,0.1760261193587421,0.7369101890158797,0.21074027913783255,0.4642857142857143,0.21074027913783255,False,0.15,2536,False,True,True,0.4642857142857143,0.21074027913783255,0.538620462976006,0.1,20.0,0.3,60.0,0.178188294172287,0.7794271111488342,0.34629290510400523,0.7,55.0,0.1,95.0,0.16477470099925995,0.6812666654586792,0.11508663191998873,0.6,95.0,0.4,25.0,0.19976210594177246,0.7053554654121399
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,430.0,1800,0.0,0.5,0.5,2536,240.82949999137782,0.7,0.7,0.13350195159012057,0.7142327748563886,0.17171285008884932,0.0,0.17171285008884932,False,0.15,2536,False,False,False,0.0,0.17171285008884932,0.5460741293996826,0.3,60.0,0.3,60.0,0.12638786435127258,0.7476688027381897,0.3430585379516385,0.1,95.0,0.1,95.0,0.1360408216714859,0.6641690731048584,0.11086733264867893,0.4,25.0,0.4,25.0,0.16068613529205322,0.7044574022293091
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,490.0,1800,0.0,0.5,0.5,2536,431.39412500022445,0.7,0.7,0.13800651269248324,0.720300625234848,0.17748182469119034,0.3535714285714286,0.17748182469119034,False,0.15,2536,False,True,True,0.3535714285714286,0.17748182469119034,0.5420949355260699,0.3,60.0,0.1,60.0,0.1338651478290558,0.7234262228012085,0.34867314520650344,0.1,95.0,0.4,20.0,0.138732448220253,0.7209979891777039,0.10923191926742665,0.4,25.0,0.6,70.0,0.1562420129776001,0.7025629281997681
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,550.0,1800,0.0,0.5,0.5,2536,1310.6804580020253,0.7,0.7,0.15933424291141293,0.7287658228496481,0.19575863347487615,0.3535714285714286,0.19575863347487615,False,0.15,2536,False,True,True,0.3535714285714286,0.19575863347487615,0.5436361081182367,0.1,60.0,0.3,60.0,0.15494291484355927,0.7729408740997314,0.3446854358926313,0.4,20.0,0.1,95.0,0.15861819684505463,0.6707137227058411,0.11167845598913197,0.6,70.0,0.4,25.0,0.1829206645488739,0.6929000020027161
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,610.0,1800,0.0,0.5,0.5,2536,693.4708750050049,0.7,0.7,0.15010595723299733,0.7212435974466157,0.18612920638231914,0.3535714285714286,0.18612920638231914,False,0.15,2536,False,True,True,0.3535714285714286,0.18612920638231914,0.5407458883483901,0.3,60.0,0.1,60.0,0.14510762691497803,0.7228072881698608,0.347787815612694,0.1,95.0,0.4,20.0,0.1518782079219818,0.7247147560119629,0.11146629603891592,0.4,25.0,0.6,70.0,0.16882425546646118,0.7028273940086365
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,670.0,1800,0.0,0.5,0.5,2536,621.1427499947604,0.7,0.7,0.17301619990536551,0.7588904378111793,0.21849658319330895,0.24404761904761904,0.21849658319330895,False,0.15,2536,False,True,True,0.24404761904761904,0.21849658319330895,0.5387737961926092,0.1,60.0,0.1,20.0,0.16946415603160858,0.7692757844924927,0.3476577081000373,0.4,20.0,0.7,55.0,0.1697644144296646,0.7522318959236145,0.11356849570735349,0.6,70.0,0.6,95.0,0.19982166588306427,0.730005145072937
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,730.0,1800,0.0,0.5,0.5,2536,517.0678750000661,0.7,0.7,0.1695067777955823,0.7501507872916785,0.21221265629116723,0.0,0.21221265629116723,False,0.15,2536,False,False,False,0.0,0.21221265629116723,0.5470160655585907,0.1,20.0,0.1,20.0,0.1641162484884262,0.7481101155281067,0.342608454095097,0.7,55.0,0.7,55.0,0.16855661571025848,0.7555695176124573,0.11037548034631232,0.6,95.0,0.6,95.0,0.19917133450508118,0.7434443831443787
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,790.0,1800,0.0,0.5,0.5,2536,236.0447499959264,0.7,0.7,0.16789460833726938,0.7489785038398584,0.21059366618526298,0.4642857142857143,0.21059366618526298,False,0.15,2536,False,True,True,0.4642857142857143,0.21059366618526298,0.5414231375823361,0.1,20.0,0.3,60.0,0.1632041186094284,0.7771523594856262,0.3484089433157065,0.7,55.0,0.1,95.0,0.16670455038547516,0.7112003564834595,0.11016791910195751,0.6,95.0,0.4,25.0,0.19470973312854767,0.7299917340278625
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,850.0,1800,0.0,0.5,0.5,2536,599.1420420032227,0.7,0.7,0.15222751581059082,0.7262841086598232,0.1898197177486004,0.3535714285714286,0.1898197177486004,False,0.15,2536,False,True,True,0.3535714285714286,0.1898197177486004,0.5420285858725126,0.3,60.0,0.1,60.0,0.14558307826519012,0.7199767231941223,0.34698285766809134,0.1,95.0,0.4,20.0,0.1561698019504547,0.7387504577636719,0.1109885564593961,0.4,25.0,0.6,70.0,0.17235183715820312,0.7181136608123779
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,910.0,1800,0.0,0.5,0.5,2536,917.176709001069,0.7,0.7,0.17058165454636628,0.7277291003151098,0.20294377518102813,0.3535714285714286,0.20294377518102813,False,0.15,2536,False,True,True,0.3535714285714286,0.20294377518102813,0.538746251874063,0.1,60.0,0.3,60.0,0.1684383898973465,0.7606651186943054,0.349044227886057,0.4,20.0,0.1,95.0,0.16544122993946075,0.6882142424583435,0.11220952023988005,0.6,70.0,0.4,25.0,0.19686205685138702,0.6925117373466492
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,970.0,1800,0.0,0.5,0.5,2536,164.57283298950642,0.7,0.7,0.13720399025452337,0.7255014989636283,0.1792556715031716,0.3535714285714286,0.1792556715031716,False,0.15,2536,False,True,True,0.3535714285714286,0.1792556715031716,0.5478078358208955,0.3,60.0,0.1,60.0,0.13056212663650513,0.7243270874023438,0.33973880597014927,0.1,95.0,0.4,20.0,0.14020195603370667,0.7336612343788147,0.11245335820895522,0.4,25.0,0.6,70.0,0.16050200164318085,0.7065707445144653
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1030.0,1800,0.0,0.5,0.5,2536,191.48424999730196,0.7,0.7,0.16449167305183215,0.7197270364367697,0.19523418902414724,0.3535714285714286,0.19523418902414724,False,0.15,2536,False,True,True,0.3535714285714286,0.19523418902414724,0.5468263917908716,0.1,60.0,0.3,60.0,0.16147755086421967,0.7507501840591431,0.34234108743093283,0.4,20.0,0.1,95.0,0.16233520209789276,0.6753765940666199,0.11083252077819566,0.6,70.0,0.4,25.0,0.18602371215820312,0.7036550641059875
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1090.0,1800,0.0,0.5,0.5,2536,140.65375000063796,0.7,0.7,0.1467608030732792,0.7381270597256604,0.19138448450524967,0.3535714285714286,0.19138448450524967,False,0.15,2536,False,True,True,0.3535714285714286,0.19138448450524967,0.5346169984614667,0.3,60.0,0.1,60.0,0.13958580791950226,0.737504243850708,0.35036598442817846,0.1,95.0,0.4,20.0,0.15027210116386414,0.7433130741119385,0.1150170171103548,0.4,25.0,0.6,70.0,0.16941514611244202,0.7252243161201477
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1150.0,1800,0.0,0.5,0.5,2536,124.37462499656249,0.7,0.7,0.16880162369067278,0.7359360931319046,0.20539366303006948,0.3535714285714286,0.20539366303006948,False,0.15,2536,False,True,True,0.3535714285714286,0.20539366303006948,0.5446005022788578,0.1,60.0,0.3,60.0,0.16733045876026154,0.7644312977790833,0.3456422658357362,0.4,20.0,0.1,95.0,0.16285163164138794,0.6940679550170898,0.10975723188540601,0.6,70.0,0.4,25.0,0.1948387771844864,0.7263959050178528
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1210.0,1800,0.0,0.5,0.5,2536,144.45766698918305,0.7,0.7,0.14077205174748775,0.7078203604680676,0.17379620447801594,0.0,0.17379620447801594,False,0.15,2536,False,False,False,0.0,0.17379620447801594,0.538526872080404,0.3,60.0,0.3,60.0,0.13393017649650574,0.7499536275863647,0.3495493795121031,0.1,95.0,0.1,95.0,0.1432366818189621,0.6494406461715698,0.11192374840749304,0.4,25.0,0.4,25.0,0.165994793176651,0.6874198317527771
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1270.0,1800,0.0,0.5,0.5,2536,210.48083298956044,0.7,0.7,0.1428570842738182,0.7261031815462473,0.1833677467126279,0.4642857142857143,0.1833677467126279,False,0.15,2536,False,True,True,0.4642857142857143,0.1833677467126279,0.5400944498994716,0.3,60.0,0.1,20.0,0.13242903351783752,0.7328340411186218,0.3477346051339599,0.1,95.0,0.7,55.0,0.1486656814813614,0.7257832884788513,0.11217094496656847,0.4,25.0,0.6,95.0,0.1750604510307312,0.6946862936019897
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1330.0,1800,0.0,0.5,0.5,2536,236.25716699461918,0.7,0.7,0.16454276482266067,0.7191613486403171,0.19501664004291325,0.3107142857142858,0.19501664004291325,False,0.15,2536,False,True,True,0.3107142857142858,0.19501664004291325,0.5439692004319452,0.1,20.0,0.1,80.0,0.15532507002353668,0.7028971314430237,0.3466829428611672,0.7,55.0,0.8,35.0,0.16997574269771576,0.7417014837265015,0.10934785670688765,0.6,95.0,0.8,40.0,0.19317269325256348,0.7286078333854675
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1390.0,1800,0.0,0.5,0.5,2536,337.6737079961458,0.7,0.7,0.1704403558621086,0.7403453559942413,0.20847435699216732,0.41309523809523807,0.20847435699216732,False,0.15,2536,False,True,True,0.41309523809523807,0.20847435699216732,0.5389816282756691,0.1,80.0,0.3,60.0,0.16458925604820251,0.7674417495727539,0.35092791196493517,0.8,35.0,0.1,95.0,0.17041584849357605,0.7068689465522766,0.11009045975939569,0.8,40.0,0.4,25.0,0.19916433095932007,0.714397132396698
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1450.0,1800,0.0,0.5,0.5,2536,150.40695799689274,0.7,0.7,0.15085574169606317,0.7153889760632058,0.18402793981554433,0.0,0.18402793981554433,False,0.15,2536,False,False,False,0.0,0.18402793981554433,0.5379487179487179,0.3,60.0,0.3,60.0,0.14819198846817017,0.7542449235916138,0.34736596736596737,0.1,95.0,0.1,95.0,0.14691554009914398,0.6606819033622742,0.11468531468531469,0.4,25.0,0.4,25.0,0.17528480291366577,0.6988294720649719
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1510.0,1800,0.0,0.5,0.5,2536,129.2741249926621,0.7,0.7,0.14770173191999245,0.7346095229301273,0.19045548733449819,0.4642857142857143,0.19045548733449819,False,0.15,2536,False,True,True,0.4642857142857143,0.19045548733449819,0.5445060319530486,0.3,60.0,0.1,20.0,0.14009438455104828,0.7486942410469055,0.3412362010340491,0.1,95.0,0.7,55.0,0.1493050903081894,0.7239199280738831,0.11425776701290233,0.4,25.0,0.6,95.0,0.1791667491197586,0.69941246509552
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1570.0,1800,0.0,0.5,0.5,2536,114.39670799882151,0.7,0.7,0.1699723421460151,0.7452431600170721,0.21034048342799547,0.4142857142857142,0.21034048342799547,False,0.15,2536,False,True,True,0.4142857142857142,0.21034048342799547,0.5362298462692163,0.1,20.0,0.7,20.0,0.1642593890428543,0.780479907989502,0.35165916760404947,0.7,55.0,0.1,20.0,0.1707310825586319,0.6966912746429443,0.11211098612673416,0.6,95.0,0.6,25.0,0.19491760432720184,0.7289978265762329
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1630.0,1800,0.0,0.5,0.5,2536,110.67879101028666,0.7,0.7,0.1381844664130669,0.7242592262522249,0.1793682966464327,0.0,0.1793682966464327,False,0.15,2536,False,False,False,0.0,0.1793682966464327,0.5390014505638482,0.7,20.0,0.7,20.0,0.13115860521793365,0.7760674953460693,0.348416077862524,0.1,20.0,0.1,20.0,0.1371171921491623,0.64633709192276,0.11258247157362782,0.6,25.0,0.6,25.0,0.17512454092502594,0.7173717617988586
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1690.0,1800,0.0,0.5,0.5,2536,162.46841700922232,0.7,0.7,0.15379971533085127,0.7149022363451853,0.18581257084509922,0.3261904761904762,0.18581257084509922,False,0.15,2536,False,True,True,0.3261904761904762,0.18581257084509922,0.5429025919341256,0.7,20.0,0.3,60.0,0.15034054219722748,0.7549008131027222,0.34331430710208666,0.1,20.0,0.1,95.0,0.14890120923519135,0.6575328707695007,0.11378310096378778,0.6,25.0,0.4,25.0,0.18508486449718475,0.6971526145935059
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1750.0,1800,0.0,0.5,0.5,2536,560.7932919956511,0.7,0.7,0.13557994114088762,0.7260141127931599,0.1783800422394719,0.0,0.1783800422394719,False,0.15,2536,False,False,False,0.0,0.1783800422394719,0.5433807030665669,0.3,60.0,0.3,60.0,0.12910541892051697,0.7522117495536804,0.34601720269259534,0.1,95.0,0.1,95.0,0.13618627190589905,0.6822988986968994,0.1106020942408377,0.4,25.0,0.4,25.0,0.16549193859100342,0.7340693473815918
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1810.0,1800,0.0,0.5,0.5,2536,113.4312499925727,0.7,0.7,0.15390158117538374,0.7100624653433478,0.18372336964726643,0.0,0.18372336964726643,False,0.15,2536,False,False,False,0.0,0.18372336964726643,0.5387077038919479,0.3,60.0,0.3,60.0,0.14981991052627563,0.7510797381401062,0.34862817073744645,0.1,95.0,0.1,95.0,0.15298038721084595,0.6537064909934998,0.11266412537060568,0.4,25.0,0.4,25.0,0.1762687861919403,0.6883249282836914
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1870.0,1800,0.0,0.5,0.5,2536,355.2015840105014,0.7,0.7,0.14779057836660067,0.7270931559506484,0.18716371322664369,0.2714285714285714,0.18716371322664369,False,0.15,2536,False,True,True,0.2714285714285714,0.18716371322664369,0.5409610353848272,0.3,60.0,0.6,70.0,0.14059637486934662,0.7672134041786194,0.3484326953967598,0.1,95.0,0.1,20.0,0.14949655532836914,0.6639167666435242,0.11060626921841296,0.4,25.0,0.5,45.0,0.17760232090950012,0.729888916015625
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1930.0,1800,0.0,0.5,0.5,2536,212.8591249929741,0.7,0.7,0.13379587604552673,0.7202846672484661,0.17461175026030104,0.16904761904761906,0.17461175026030104,False,0.15,2536,False,True,True,0.16904761904761906,0.17461175026030104,0.5434863755132512,0.6,70.0,0.7,20.0,0.1281183809041977,0.7671578526496887,0.3456047032474804,0.1,20.0,0.1,20.0,0.1342450976371765,0.6487487554550171,0.11090892123926839,0.5,45.0,0.6,25.0,0.16021744906902313,0.7135062217712402
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,1990.0,1800,0.0,0.5,0.5,2536,464.01045900711324,0.7,0.7,0.1501238886227781,0.7193366391687414,0.18529092454012347,0.3261904761904762,0.18529092454012347,False,0.15,2536,False,True,True,0.3261904761904762,0.18529092454012347,0.5394140460726135,0.7,20.0,0.3,60.0,0.1467732936143875,0.7648088335990906,0.3506845474510537,0.1,20.0,0.1,95.0,0.14663644134998322,0.6581552028656006,0.10990140647633288,0.6,25.0,0.4,25.0,0.17769725620746613,0.6913756132125854
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,2050.0,1800,0.0,0.5,0.5,2536,310.8355420117732,0.7,0.7,0.13743121275991757,0.7202937818241939,0.17708760632362874,0.3535714285714286,0.17708760632362874,False,0.15,2536,False,True,True,0.3535714285714286,0.17708760632362874,0.5472473674487345,0.3,60.0,0.1,60.0,0.13082650303840637,0.7232317924499512,0.34232403473120265,0.1,95.0,0.4,20.0,0.14064691960811615,0.717545747756958,0.11042859782006281,0.4,25.0,0.6,70.0,0.16019339859485626,0.714252769947052
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,2110.0,1800,0.0,0.5,0.5,2536,437.8667089913506,0.7,0.7,0.16790596677236153,0.7265650593371198,0.20060533822360455,0.3535714285714286,0.20060533822360455,False,0.15,2536,False,True,True,0.3535714285714286,0.20060533822360455,0.539957815795641,0.1,60.0,0.3,60.0,0.16484956443309784,0.7600117921829224,0.3488633700492149,0.4,20.0,0.1,95.0,0.16499203443527222,0.6835325956344604,0.11117881415514413,0.6,70.0,0.4,25.0,0.19189338386058807,0.6991553902626038
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,2170.0,1800,0.0,0.5,0.5,2536,316.1668329994427,0.7,0.7,0.12871819345460447,0.7235649081267768,0.17262219523251954,0.4642857142857143,0.17262219523251954,False,0.15,2536,False,True,True,0.4642857142857143,0.17262219523251954,0.5506299580027998,0.3,60.0,0.1,20.0,0.11768636107444763,0.7307595014572144,0.33845076994867007,0.1,95.0,0.7,55.0,0.13776127994060516,0.7206037044525146,0.1109192720485301,0.4,25.0,0.6,95.0,0.15588946640491486,0.69688481092453
PERFORMANCE_ONLY,PERFORMANCE_ONLY,iteration_1,1,20260829,2230.0,1800,0.0,0.5,0.5,2536,350.27708401321433,0.7,0.7,0.1569448193177779,0.7340884441610126,0.19650778887936574,0.4642857142857143,0.19650778887936574,False,0.15,2536,False,True,True,0.4642857142857143,0.19650778887936574,0.5401796210090751,0.1,20.0,0.3,60.0,0.15846043825149536,0.7716835737228394,0.3464052287581699,0.7,55.0,0.1,95.0,0.14805090427398682,0.685005247592926,0.11341515023275497,0.6,95.0,0.4,25.0,0.17689093947410583,0.7049437761306763
