variant,policy,run_id,iteration,simulation_seed,timestamp,num_devices,lambda,w_failure,w_service,candidate_count,optimizer_time_ms,previous_alpha,selected_alpha,weighted_predicted_failure_rate,weighted_predicted_dnst,performance_cost,reconfiguration_cost,joint_cost,hard_stability_enabled,r_max,feasible_candidate_count,constraint_active,reconfigured,stability_violation,unconstrained_reconfiguration_cost,unconstrained_performance_cost,app_weight_0,previous_w_load_0,previous_threshold_0,selected_w_load_0,selected_threshold_0,predicted_failure_rate_0,predicted_dnst_0,app_weight_1,previous_w_load_1,previous_threshold_1,selected_w_load_1,selected_threshold_1,predicted_failure_rate_1,predicted_dnst_1,app_weight_2,previous_w_load_2,previous_threshold_2,selected_w_load_2,selected_threshold_2,predicted_failure_rate_2,predicted_dnst_2
SCOPE,RT_OPT_ML,iteration_3,3,20260831,70.0,1800,0.2,0.5,0.5,2537,207.67624999280088,0.6,0.7,0.09390832014677897,0.7164324804734206,0.14577280616575555,0.14444444444444443,0.14550713382149333,True,0.15,50,True,True,False,0.1706349206349206,0.135445071041718,0.5145676447675929,0.5,85.0,0.4,70.0,0.0982494205236435,0.7287711501121521,0.3611010127239678,0.7,80.0,0.8,65.0,0.08395928889513016,0.7004521489143372,0.12433134250843937,0.4,90.0,0.2,90.0,0.10483730584383011,0.7117790579795837
SCOPE,RT_OPT_ML,iteration_3,3,20260831,130.0,1800,0.2,0.5,0.5,2536,113.68208400381263,0.7,0.7,0.12882901943312852,0.7588328198298513,0.1884264949406256,0.0,0.1507411959525005,True,0.15,32,False,False,False,0.0,0.1884264949406256,0.5200383509108342,0.4,70.0,0.4,70.0,0.11811301112174988,0.7880808115005493,0.3587248322147651,0.8,65.0,0.8,65.0,0.1344011276960373,0.7309638261795044,0.12123681687440077,0.2,90.0,0.2,90.0,0.1583075374364853,0.7158361673355103
SCOPE,RT_OPT_ML,iteration_3,3,20260831,190.0,1800,0.2,0.5,0.5,2536,100.57079199759755,0.7,0.7,0.14822079473500746,0.7798657912558036,0.21099201455663535,0.0,0.1687936116453083,True,0.15,32,False,False,False,0.0,0.21099201455663535,0.5153347732181426,0.4,70.0,0.4,70.0,0.13347022235393524,0.8283030390739441,0.36318694504439647,0.8,65.0,0.8,65.0,0.1558980792760849,0.7304979562759399,0.121478281737461,0.2,90.0,0.2,90.0,0.18784263730049133,0.7219818234443665
SCOPE,RT_OPT_ML,iteration_3,3,20260831,250.0,1800,0.2,0.5,0.5,2536,101.04437499830965,0.7,0.7,0.15872226711139045,0.8057200593669084,0.22966293392884132,0.0,0.18373034714307307,True,0.15,32,False,False,False,0.0,0.22966293392884132,0.514162265962554,0.4,70.0,0.4,70.0,0.1478821337223053,0.845543622970581,0.3656265002400384,0.8,65.0,0.8,65.0,0.1602679044008255,0.7701563239097595,0.12021123379740759,0.2,90.0,0.2,90.0,0.20038610696792603,0.7435567378997803
SCOPE,RT_OPT_ML,iteration_3,3,20260831,310.0,1800,0.2,0.5,0.5,2536,110.71466699650045,0.7,0.7,0.13692574600820598,0.7724507476786266,0.2000051252641622,0.0,0.16000410021132977,True,0.15,32,False,False,False,0.0,0.2000051252641622,0.518674227610481,0.4,70.0,0.4,70.0,0.13211952149868011,0.8021361231803894,0.36238756355103635,0.8,65.0,0.8,65.0,0.13372093439102173,0.7496418356895447,0.11893820883848259,0.2,90.0,0.2,90.0,0.16764967143535614,0.7124921083450317
SCOPE,RT_OPT_ML,iteration_3,3,20260831,370.0,1800,0.2,0.5,0.5,2536,311.6733750066487,0.7,0.7,0.12618839936619325,0.7580746698149222,0.18629292284601007,0.0,0.14903433827680806,True,0.15,32,False,False,False,0.0,0.18629292284601007,0.5172798757402194,0.4,70.0,0.4,70.0,0.1160113662481308,0.7982145547866821,0.36142122124065623,0.8,65.0,0.8,65.0,0.12976810336112976,0.7165572643280029,0.12129890301912435,0.2,90.0,0.2,90.0,0.15892235934734344,0.7106028199195862
SCOPE,RT_OPT_ML,iteration_3,3,20260831,430.0,1800,0.2,0.5,0.5,2536,127.34404200455174,0.7,0.7,0.15892716166475238,0.7846462265863366,0.220403644054877,0.0,0.17632291524390162,True,0.15,32,False,False,False,0.0,0.220403644054877,0.5153654086238356,0.4,70.0,0.4,70.0,0.15025609731674194,0.8196218609809875,0.3644963026985499,0.8,65.0,0.8,65.0,0.16107721626758575,0.753800094127655,0.12013828867761452,0.2,90.0,0.2,90.0,0.18960081040859222,0.7281951904296875
SCOPE,RT_OPT_ML,iteration_3,3,20260831,490.0,1800,0.2,0.5,0.5,2536,126.35400000726804,0.7,0.7,0.15913898306074392,0.7861668625774199,0.22122584897014097,0.0,0.1769806791761128,True,0.15,32,False,False,False,0.0,0.22122584897014097,0.513227259656858,0.4,70.0,0.4,70.0,0.1537911593914032,0.8241894841194153,0.3664334323780312,0.8,65.0,0.8,65.0,0.158439502120018,0.7534233927726746,0.1203393079651107,0.2,90.0,0.2,90.0,0.1840764880180359,0.7237105965614319
SCOPE,RT_OPT_ML,iteration_3,3,20260831,550.0,1800,0.2,0.5,0.5,2536,117.83558299066499,0.7,0.7,0.1569868370619085,0.7879736477251563,0.22056832884863886,0.0,0.1764546630789111,True,0.15,32,False,False,False,0.0,0.22056832884863886,0.5180530716806032,0.4,70.0,0.4,70.0,0.1526365578174591,0.82427579164505,0.3587896950070086,0.8,65.0,0.8,65.0,0.15290467441082,0.7585833072662354,0.12315723331238823,0.2,90.0,0.2,90.0,0.18717843294143677,0.7208928465843201
SCOPE,RT_OPT_ML,iteration_3,3,20260831,610.0,1800,0.2,0.5,0.5,2536,117.7062499918975,0.7,0.7,0.15118178558709927,0.7856919968553358,0.2156036925370508,0.0,0.17248295402964064,True,0.15,32,False,False,False,0.0,0.2156036925370508,0.5187466910526063,0.4,70.0,0.4,70.0,0.14328652620315552,0.8254963755607605,0.3589546132742937,0.8,65.0,0.8,65.0,0.15348514914512634,0.7515458464622498,0.12229869567310006,0.2,90.0,0.2,90.0,0.17791008949279785,0.7170774340629578
SCOPE,RT_OPT_ML,iteration_3,3,20260831,670.0,1800,0.2,0.5,0.5,2536,116.35075000231154,0.7,0.7,0.15560724201910914,0.8021072041860892,0.22593364293229662,0.0,0.1807469143458373,True,0.15,32,False,False,False,0.0,0.22593364293229662,0.5098067424351412,0.4,70.0,0.4,70.0,0.1410214900970459,0.8384840488433838,0.36584664077111206,0.8,65.0,0.8,65.0,0.16441506147384644,0.7753991484642029,0.1243466167937467,0.2,90.0,0.2,90.0,0.18949319422245026,0.7315455079078674
